,Email No.,the,to,ect,and,for,of,a,you,hou
1327,Email 1328,2,2,3,0,1,0,14,0,1
1328,Email 1329,0,1,2,0,1,0,5,0,0
1329,Email 1330,0,1,2,0,1,0,12,0,0
1330,Email 1331,0,1,2,0,1,0,11,0,0
1331,Email 1332,8,8,1,0,10,11,62,6,0
1332,Email 1333,10,10,1,5,10,11,94,10,0
1333,Email 1334,12,10,1,5,2,8,53,7,0
1334,Email 1335,0,0,1,0,1,0,2,0,0
1335,Email 1336,4,6,2,2,4,3,146,4,0
1336,Email 1337,0,0,1,0,1,0,5,0,0
1337,Email 1338,7,27,7,4,2,2,296,0,1
1338,Email 1339,0,2,2,0,0,0,11,1,0
1339,Email 1340,4,2,1,3,0,1,13,3,1
1340,Email 1341,5,6,4,2,1,2,39,0,1
1341,Email 1342,9,5,2,4,0,0,33,1,0
1342,Email 1343,13,3,2,6,1,2,55,2,2
1343,Email 1344,1,0,1,1,5,0,16,3,0
1344,Email 1345,0,1,2,0,1,0,5,0,0
1345,Email 1346,4,7,2,3,5,3,48,5,0
1346,Email 1347,16,17,8,8,15,8,160,12,2
1347,Email 1348,0,0,1,0,1,0,5,0,0
1348,Email 1349,0,0,1,0,1,0,2,0,0
1349,Email 1350,2,2,1,0,0,0,10,1,0
1350,Email 1351,0,1,1,0,0,0,4,0,1
1351,Email 1352,0,4,3,4,1,1,26,1,0
1352,Email 1353,9,10,19,4,3,5,93,1,11
1353,Email 1354,16,7,5,11,1,2,68,1,2
1354,Email 1355,11,18,5,9,9,1,124,2,1
1355,Email 1356,0,3,1,3,3,1,38,1,0
1356,Email 1357,9,6,16,0,4,2,56,3,6
1357,Email 1358,11,6,17,1,1,3,66,2,10
1358,Email 1359,3,3,3,0,1,1,24,0,0
1359,Email 1360,1,1,1,0,1,0,3,0,0
1360,Email 1361,0,0,1,0,1,0,2,0,0
1361,Email 1362,0,0,1,0,1,0,4,0,0
1362,Email 1363,9,9,2,0,0,0,39,1,1
1363,Email 1364,23,9,15,11,1,4,117,2,6
1364,Email 1365,2,1,5,0,2,0,29,1,0
1365,Email 1366,5,3,5,2,4,0,11,0,1
1366,Email 1367,6,5,2,7,1,1,54,1,2
1367,Email 1368,3,1,4,1,3,2,18,1,0
1368,Email 1369,1,4,1,0,1,0,17,1,0
1369,Email 1370,2,1,2,0,1,0,21,0,0
1370,Email 1371,4,5,1,5,4,8,36,12,1
1371,Email 1372,0,1,1,2,2,0,35,4,0
1372,Email 1373,1,2,5,0,1,0,17,0,0
1373,Email 1374,6,3,6,3,3,0,38,1,0
1374,Email 1375,4,6,10,2,3,0,51,0,0
1375,Email 1376,0,0,1,0,1,0,2,0,0
1376,Email 1377,0,0,1,0,1,0,4,0,0
1377,Email 1378,5,2,1,1,3,2,33,1,1
1378,Email 1379,9,8,1,5,3,1,60,13,1
1379,Email 1380,0,2,1,1,0,0,8,0,0
1380,Email 1381,1,0,1,0,0,1,8,0,0
1381,Email 1382,1,2,4,5,1,1,76,0,1
1382,Email 1383,3,3,1,0,0,1,16,0,0
1383,Email 1384,2,6,1,6,9,2,85,10,0
1384,Email 1385,3,4,1,0,0,1,15,1,0
1385,Email 1386,3,6,4,6,0,2,57,2,0
1386,Email 1387,2,3,3,3,0,3,46,1,0
1387,Email 1388,5,21,4,4,2,7,189,1,1
1388,Email 1389,0,1,1,0,0,0,4,0,0
1389,Email 1390,1,0,1,0,0,2,6,0,0
1390,Email 1391,0,1,1,1,1,6,13,1,0
1391,Email 1392,2,1,8,0,2,0,14,0,3
1392,Email 1393,1,4,1,0,1,0,17,1,0
1393,Email 1394,1,1,1,0,0,5,23,0,0
1394,Email 1395,1,3,2,5,3,1,45,3,0
1395,Email 1396,4,5,5,3,4,1,33,2,1
1396,Email 1397,0,0,1,0,1,0,2,0,0
1397,Email 1398,0,0,1,0,1,0,7,0,0
1398,Email 1399,13,6,45,6,1,2,91,0,23
1399,Email 1400,0,4,1,0,0,1,10,1,0
1400,Email 1401,8,5,5,2,0,0,33,4,1
1401,Email 1402,0,0,1,0,0,0,0,0,0
1402,Email 1403,0,1,2,0,1,0,11,0,0
1403,Email 1404,3,1,1,0,0,1,11,1,0
1404,Email 1405,61,53,20,27,26,43,450,7,4
1405,Email 1406,0,1,2,0,1,0,12,0,0
1406,Email 1407,0,1,2,0,1,0,14,0,0
1407,Email 1408,1,2,5,0,1,0,8,0,0
1408,Email 1409,4,8,1,1,2,3,60,5,2
1409,Email 1410,1,4,3,0,1,1,13,1,0
1410,Email 1411,0,0,1,0,1,0,2,0,0
1411,Email 1412,0,0,1,0,1,0,3,0,0
1412,Email 1413,1,0,1,2,0,0,61,0,0
1413,Email 1414,57,36,2,22,5,10,209,36,5
1414,Email 1415,17,21,33,6,5,6,144,9,19
1415,Email 1416,2,9,4,1,1,2,112,2,0
1416,Email 1417,6,8,2,2,4,5,51,10,1
1417,Email 1418,0,0,1,0,1,0,12,1,0
1418,Email 1419,0,6,3,0,3,0,41,1,1
1419,Email 1420,7,3,1,5,1,12,58,12,0
1420,Email 1421,1,3,1,0,1,1,28,4,0
1421,Email 1422,2,2,1,1,0,0,23,2,1
1422,Email 1423,0,1,1,1,2,6,13,1,0
1423,Email 1424,4,3,5,1,1,0,40,2,3
1424,Email 1425,7,4,2,0,4,0,40,1,0
1425,Email 1426,0,1,2,0,1,0,7,0,0
1426,Email 1427,2,3,7,0,1,0,20,0,0
1427,Email 1428,0,0,1,0,2,0,18,4,0
1428,Email 1429,0,1,2,0,1,0,16,0,0
1429,Email 1430,2,8,1,0,0,2,34,5,0
1430,Email 1431,2,18,1,4,2,6,53,6,1
1431,Email 1432,0,0,1,0,1,0,2,0,0
1432,Email 1433,7,17,3,6,4,3,330,1,2
1433,Email 1434,0,0,1,0,1,0,3,0,0
1434,Email 1435,2,4,4,1,3,4,56,3,3
1435,Email 1436,21,20,8,18,9,6,151,3,7
1436,Email 1437,0,7,1,4,0,11,39,3,0
1437,Email 1438,11,5,61,5,2,1,89,1,29
1438,Email 1439,0,1,2,0,3,0,15,0,0
1439,Email 1440,4,5,7,1,0,0,41,3,3
1440,Email 1441,16,14,1,0,5,7,67,12,0
1441,Email 1442,1,6,1,0,1,0,91,5,0
1442,Email 1443,0,0,1,0,0,0,8,0,0
1443,Email 1444,6,3,2,4,0,2,28,1,0
1444,Email 1445,9,11,17,5,0,3,70,1,9
1445,Email 1446,17,21,33,7,0,6,127,1,17
1446,Email 1447,16,16,32,8,2,5,104,2,17
1447,Email 1448,20,21,31,8,8,2,170,6,13
1448,Email 1449,10,7,3,2,5,5,35,3,0
1449,Email 1450,0,1,1,1,0,2,7,1,0
1450,Email 1451,1,3,4,2,4,0,40,1,2
1451,Email 1452,10,11,1,8,2,3,77,8,0
1452,Email 1453,0,1,1,0,0,0,2,0,0
1453,Email 1454,1,2,1,0,3,1,85,4,0
1454,Email 1455,0,1,2,0,3,0,20,0,0
1455,Email 1456,3,2,2,2,3,4,40,1,0
1456,Email 1457,13,8,4,3,4,3,57,1,1
1457,Email 1458,5,9,1,3,1,3,68,4,2
1458,Email 1459,12,18,8,11,11,7,159,14,2
1459,Email 1460,0,0,1,0,0,0,0,0,0
1460,Email 1461,0,0,1,0,2,0,4,0,0
1461,Email 1462,0,0,1,0,1,0,2,0,0
1462,Email 1463,0,0,1,0,1,0,4,0,0
1463,Email 1464,3,2,7,0,3,1,27,1,3
1464,Email 1465,5,2,1,2,2,0,16,1,0
1465,Email 1466,4,1,1,2,1,1,12,6,1
1466,Email 1467,0,1,1,1,2,0,27,4,0
1467,Email 1468,7,15,19,3,3,0,55,4,11
1468,Email 1469,2,11,1,1,2,2,47,6,0
1469,Email 1470,9,20,27,5,3,1,79,4,15
1470,Email 1471,3,7,1,2,5,3,56,3,3
1471,Email 1472,23,8,15,0,7,1,100,2,6
1472,Email 1473,2,13,5,1,0,2,158,0,0
1473,Email 1474,17,15,5,6,4,4,86,19,0
1474,Email 1475,2,1,1,0,1,0,5,1,0
1475,Email 1476,4,0,1,3,2,0,31,1,1
1476,Email 1477,0,0,1,0,1,0,2,0,0
1477,Email 1478,0,0,1,0,1,0,4,0,0
1478,Email 1479,3,5,1,2,0,0,21,0,1
1479,Email 1480,8,5,1,3,5,3,44,0,0
1480,Email 1481,18,15,19,6,3,2,110,8,8
1481,Email 1482,4,0,1,0,5,0,20,0,0
1482,Email 1483,10,6,5,3,6,5,69,6,1
1483,Email 1484,0,1,4,0,3,0,20,0,1
1484,Email 1485,0,5,5,0,1,1,33,0,1
1485,Email 1486,0,3,3,0,0,1,11,0,0
1486,Email 1487,4,1,1,1,4,1,28,2,1
1487,Email 1488,0,0,1,0,1,0,2,0,0
1488,Email 1489,5,5,1,1,1,2,91,3,0
1489,Email 1490,0,0,1,0,1,0,5,0,0
1490,Email 1491,11,2,19,2,8,2,73,0,9
1491,Email 1492,6,5,1,1,1,1,32,3,3
1492,Email 1493,12,6,3,4,5,3,45,9,0
1493,Email 1494,0,0,1,1,0,0,13,0,0
1494,Email 1495,7,8,1,1,1,2,30,7,0
1495,Email 1496,2,5,1,0,3,1,32,4,0
1496,Email 1497,2,1,1,0,1,1,12,0,0
1497,Email 1498,38,30,75,10,10,15,226,7,40
1498,Email 1499,10,16,7,9,10,5,122,8,2
1499,Email 1500,8,11,6,4,4,30,115,12,0
1500,Email 1501,0,0,1,0,1,0,2,0,0
1501,Email 1502,0,0,1,0,1,0,5,0,1
1502,Email 1503,1,0,1,1,0,1,20,0,0
1503,Email 1504,5,5,2,2,3,0,21,2,1
1504,Email 1505,8,1,3,0,0,2,12,1,1
1505,Email 1506,0,0,1,0,1,0,5,0,0
1506,Email 1507,2,2,1,1,2,0,6,2,1
1507,Email 1508,2,16,3,6,2,0,266,0,3
1508,Email 1509,22,8,72,4,12,5,143,2,30
1509,Email 1510,7,2,7,0,5,1,31,0,3
1510,Email 1511,2,3,1,2,2,0,39,6,1
1511,Email 1512,8,3,12,4,2,1,47,0,7
1512,Email 1513,2,6,2,1,4,3,68,2,2
1513,Email 1514,0,0,1,1,1,0,8,0,0
1514,Email 1515,0,3,10,4,2,0,46,1,3
1515,Email 1516,8,3,7,1,1,0,52,0,3
1516,Email 1517,0,1,2,2,3,0,11,0,0
1517,Email 1518,0,3,1,0,0,0,14,0,0
1518,Email 1519,24,17,35,4,10,8,103,2,16
1519,Email 1520,2,1,4,0,3,2,26,1,1
1520,Email 1521,2,1,4,0,2,2,37,1,1
1521,Email 1522,2,2,3,0,2,2,13,0,1
1522,Email 1523,6,9,3,6,5,8,54,16,0
1523,Email 1524,1,2,9,6,3,0,76,0,5
1524,Email 1525,4,1,1,1,0,1,48,2,2
1525,Email 1526,0,0,1,0,1,0,2,0,0
1526,Email 1527,0,0,1,0,1,0,5,0,0
1527,Email 1528,3,4,12,0,5,0,33,1,5
1528,Email 1529,3,3,8,0,4,0,23,1,3
1529,Email 1530,14,6,8,7,1,5,79,1,3
1530,Email 1531,7,3,3,4,1,1,41,1,1
1531,Email 1532,3,3,4,0,2,1,38,1,1
1532,Email 1533,13,17,4,12,8,22,175,26,4
1533,Email 1534,19,12,22,7,4,7,133,3,9
1534,Email 1535,1,5,1,0,2,1,83,4,0
1535,Email 1536,0,3,1,0,1,2,16,0,0
1536,Email 1537,9,2,3,1,7,3,24,3,0
1537,Email 1538,0,1,2,0,3,0,13,0,0
1538,Email 1539,7,11,19,3,5,3,92,4,5
1539,Email 1540,1,1,1,1,0,1,7,1,0
1540,Email 1541,7,9,14,3,4,3,79,3,4
1541,Email 1542,3,5,1,0,0,6,37,1,0
1542,Email 1543,1,0,1,1,0,2,7,0,0
1543,Email 1544,2,4,2,0,2,2,77,3,0
1544,Email 1545,3,2,1,0,2,3,19,5,0
1545,Email 1546,3,1,2,1,1,2,33,4,0
1546,Email 1547,2,2,1,1,0,0,37,0,0
1547,Email 1548,0,0,1,0,1,0,2,0,0
1548,Email 1549,0,5,1,3,3,0,105,0,0
1549,Email 1550,0,0,1,0,1,0,6,0,0
1550,Email 1551,2,0,1,0,0,0,10,0,0
1551,Email 1552,1,2,5,0,2,0,16,1,2
1552,Email 1553,0,5,5,0,1,0,12,2,2
1553,Email 1554,0,4,1,0,0,0,6,2,0
1554,Email 1555,1,2,1,0,1,0,6,1,0
1555,Email 1556,1,1,1,0,1,0,8,1,0
1556,Email 1557,0,0,1,0,0,0,2,0,0
1557,Email 1558,1,1,1,0,1,0,6,0,0
1558,Email 1559,14,30,15,14,21,11,260,12,7
1559,Email 1560,25,46,9,16,7,19,205,22,1
1560,Email 1561,18,11,18,7,4,6,114,3,8
1561,Email 1562,7,4,1,4,5,0,39,7,0
1562,Email 1563,3,0,1,0,2,0,17,1,0
1563,Email 1564,0,0,1,0,1,0,2,0,0
1564,Email 1565,0,0,1,0,1,0,5,0,0
1565,Email 1566,7,5,6,4,3,2,56,1,5
1566,Email 1567,1,1,1,0,1,0,5,0,0
1567,Email 1568,2,4,7,0,1,0,25,0,2
1568,Email 1569,7,10,2,2,4,5,54,11,1
1569,Email 1570,0,1,2,0,1,0,13,0,0
1570,Email 1571,0,0,1,0,2,0,11,0,0
1571,Email 1572,0,0,1,0,1,0,9,0,0
1572,Email 1573,3,0,1,1,3,0,22,0,0
1573,Email 1574,0,0,1,0,1,0,2,0,0
1574,Email 1575,2,0,1,1,3,0,32,4,0
1575,Email 1576,0,0,1,0,1,0,6,0,0
1576,Email 1577,1,2,6,0,4,0,33,2,1
1577,Email 1578,1,3,7,0,1,0,31,1,1
1578,Email 1579,0,7,1,0,1,0,12,0,0
1579,Email 1580,0,0,1,0,1,0,2,0,0
1580,Email 1581,1,7,4,2,1,0,102,1,0
1581,Email 1582,0,0,1,0,1,0,3,0,0
1582,Email 1583,0,0,1,0,1,0,3,0,0
1583,Email 1584,0,0,1,0,1,0,5,0,0
1584,Email 1585,7,6,17,0,3,0,49,3,8
1585,Email 1586,1,7,1,0,1,0,17,0,0
1586,Email 1587,0,0,1,0,1,0,2,0,0
1587,Email 1588,12,2,2,4,2,3,63,0,0
1588,Email 1589,0,0,1,0,1,0,3,0,0
1589,Email 1590,61,58,115,21,28,12,456,6,53
1590,Email 1591,7,1,1,1,0,6,25,0,0
1591,Email 1592,4,3,6,0,1,0,41,1,2
1592,Email 1593,3,2,1,0,0,7,42,0,0
1593,Email 1594,0,5,1,0,0,0,16,0,0
1594,Email 1595,3,3,2,2,0,1,15,1,0
1595,Email 1596,0,2,1,0,0,0,26,1,1
1596,Email 1597,0,0,1,0,1,0,2,0,0
1597,Email 1598,0,0,1,0,1,0,6,0,0
1598,Email 1599,5,2,2,0,0,1,13,0,0
1599,Email 1600,11,13,39,4,12,7,113,3,17
1600,Email 1601,29,32,48,5,16,13,195,12,24
1601,Email 1602,6,5,1,2,2,3,41,5,0
1602,Email 1603,0,0,1,0,1,0,2,0,0
1603,Email 1604,0,0,1,0,1,0,3,0,0
1604,Email 1605,10,3,16,5,1,2,61,0,9
1605,Email 1606,73,68,157,23,35,13,629,10,74
1606,Email 1607,0,2,1,0,1,0,3,0,0
1607,Email 1608,6,4,16,3,3,0,31,0,8
1608,Email 1609,5,1,2,1,2,0,12,0,2
1609,Email 1610,7,1,12,0,6,2,39,1,5
1610,Email 1611,3,0,2,0,5,1,21,1,0
1611,Email 1612,37,26,5,30,24,21,252,0,2
1612,Email 1613,11,6,24,3,2,1,96,2,11
1613,Email 1614,1,0,1,0,3,0,11,0,0
1614,Email 1615,3,1,1,3,3,0,38,6,0
1615,Email 1616,6,1,1,2,1,1,26,1,0
1616,Email 1617,3,2,1,0,3,1,17,2,0
1617,Email 1618,0,0,1,0,1,0,3,0,0
1618,Email 1619,0,2,1,0,1,2,16,8,0
1619,Email 1620,0,0,1,0,1,0,2,0,0
1620,Email 1621,11,4,36,5,2,2,87,0,19
1621,Email 1622,2,4,1,1,4,0,27,0,1
1622,Email 1623,5,3,1,0,1,0,19,3,0
1623,Email 1624,2,0,1,0,0,0,20,1,0
1624,Email 1625,4,3,7,1,5,0,27,2,2
1625,Email 1626,0,1,1,1,1,0,22,0,0
1626,Email 1627,1,4,6,0,3,0,33,2,1
1627,Email 1628,1,3,1,0,2,1,57,3,0
1628,Email 1629,7,10,4,8,2,5,75,12,0
1629,Email 1630,14,16,3,9,18,4,90,8,0
1630,Email 1631,0,0,1,0,1,0,4,0,0
1631,Email 1632,2,7,8,5,1,3,90,1,0
1632,Email 1633,0,1,1,2,1,5,10,0,0
1633,Email 1634,0,0,1,0,1,0,2,0,0
1634,Email 1635,5,5,1,4,2,2,43,1,0
1635,Email 1636,0,0,1,0,1,0,3,0,0
1636,Email 1637,33,28,9,30,10,17,252,0,0
1637,Email 1638,2,1,2,0,3,0,9,0,0
1638,Email 1639,1,0,1,0,0,0,9,0,0
1639,Email 1640,0,0,1,0,5,0,40,4,0
1640,Email 1641,3,0,1,0,0,5,4,0,0
1641,Email 1642,1,3,1,2,0,0,26,3,0
1642,Email 1643,2,3,1,0,0,1,11,3,0
1643,Email 1644,21,23,1,5,3,0,95,4,0
1644,Email 1645,0,0,1,0,1,0,4,0,0
1645,Email 1646,0,0,1,0,1,0,2,0,0
1646,Email 1647,7,2,1,1,4,1,27,0,0
1647,Email 1648,54,16,15,5,21,11,205,20,2
1648,Email 1649,15,9,4,19,16,17,191,12,1
1649,Email 1650,1,1,24,0,4,0,41,0,11
1650,Email 1651,0,9,9,1,7,0,47,2,4
1651,Email 1652,0,5,8,1,5,0,45,1,3
1652,Email 1653,0,4,1,1,4,0,26,1,0
1653,Email 1654,12,18,8,11,12,5,146,9,2
1654,Email 1655,5,0,1,2,2,1,18,0,0
1655,Email 1656,9,10,4,7,3,1,236,2,0
1656,Email 1657,4,2,6,1,1,2,33,1,2
1657,Email 1658,5,0,1,0,1,2,9,1,0
1658,Email 1659,7,8,10,2,1,1,42,1,9
1659,Email 1660,9,9,1,2,0,6,50,2,0
1660,Email 1661,38,28,2,27,17,21,195,15,1
1661,Email 1662,1,5,1,0,0,3,33,1,0
1662,Email 1663,2,4,2,3,1,1,104,0,0
1663,Email 1664,25,17,3,9,4,6,122,0,1
1664,Email 1665,0,4,5,0,3,0,30,1,0
1665,Email 1666,5,2,1,3,2,1,36,1,0
1666,Email 1667,0,0,1,0,1,0,8,0,0
1667,Email 1668,0,0,1,0,1,0,2,0,0
1668,Email 1669,2,2,1,2,1,0,16,0,0
1669,Email 1670,1,2,1,0,0,2,4,1,0
1670,Email 1671,1,1,1,1,0,1,7,1,0
1671,Email 1672,19,18,1,12,11,15,131,12,2
1672,Email 1673,25,17,3,9,4,6,122,0,1
1673,Email 1674,17,22,3,8,8,3,134,13,3
1674,Email 1675,0,0,1,0,0,0,0,0,0
1675,Email 1676,6,3,1,3,2,1,26,2,0
1676,Email 1677,3,4,3,0,5,0,37,1,0
1677,Email 1678,0,1,1,1,1,0,15,3,0
1678,Email 1679,0,0,1,0,0,0,0,0,0
1679,Email 1680,0,0,1,0,1,0,2,0,0
1680,Email 1681,0,0,1,0,1,0,3,0,0
1681,Email 1682,4,11,4,2,2,0,81,6,1
1682,Email 1683,0,0,1,0,1,0,2,0,0
1683,Email 1684,0,0,1,0,1,0,3,0,0
1684,Email 1685,7,2,2,0,1,3,25,3,1
1685,Email 1686,5,4,3,2,2,0,34,0,0
1686,Email 1687,5,6,1,7,0,1,29,0,0
1687,Email 1688,13,18,5,9,4,5,106,2,0
1688,Email 1689,24,34,319,20,8,11,429,4,155
1689,Email 1690,6,13,3,3,2,5,78,1,1
1690,Email 1691,90,53,8,19,18,31,369,33,5
1691,Email 1692,2,4,1,1,4,7,34,1,0
1692,Email 1693,24,15,6,1,4,1,92,4,2
1693,Email 1694,0,2,1,2,1,5,10,0,0
1694,Email 1695,0,0,1,0,1,0,4,0,0
1695,Email 1696,0,0,1,0,1,0,3,0,0
1696,Email 1697,24,15,6,1,4,1,92,4,2
1697,Email 1698,3,6,37,1,4,1,73,1,17
1698,Email 1699,3,1,1,0,3,1,18,2,0
1699,Email 1700,3,1,1,0,3,1,15,2,0
1700,Email 1701,1,1,1,0,1,0,8,6,0
1701,Email 1702,0,0,1,0,1,0,2,0,0
1702,Email 1703,0,0,1,0,1,0,3,0,0
1703,Email 1704,8,1,1,2,2,1,37,0,0
1704,Email 1705,0,0,1,0,0,0,0,0,0
1705,Email 1706,10,13,5,8,2,2,107,10,1
1706,Email 1707,3,2,1,0,0,1,23,0,0
1707,Email 1708,36,19,6,20,9,15,221,10,2
1708,Email 1709,5,0,1,0,0,1,20,0,0
1709,Email 1710,10,34,8,13,3,7,559,1,2
1710,Email 1711,10,15,6,7,2,3,342,1,0
1711,Email 1712,1,1,1,2,0,1,31,1,0
1712,Email 1713,8,6,3,3,1,0,45,0,0
1713,Email 1714,3,0,1,0,0,4,12,1,1
1714,Email 1715,1,1,1,3,0,0,8,0,0
1715,Email 1716,10,1,1,3,4,0,30,0,0
1716,Email 1717,1,2,2,3,1,1,30,0,1
1717,Email 1718,8,6,3,3,0,0,41,0,0
1718,Email 1719,0,1,3,0,1,2,14,0,0
1719,Email 1720,8,11,6,4,4,30,115,12,0
1720,Email 1721,4,0,1,4,2,0,35,1,1
1721,Email 1722,0,0,1,0,1,0,5,0,0
1722,Email 1723,0,1,1,0,0,2,16,0,0
1723,Email 1724,1,17,37,4,18,0,121,3,19
1724,Email 1725,2,3,4,0,1,1,34,3,2
1725,Email 1726,1,2,1,1,2,0,29,1,0
1726,Email 1727,6,2,1,2,1,3,43,4,0
1727,Email 1728,8,19,4,7,3,2,271,0,1
1728,Email 1729,4,2,2,1,5,2,38,1,2
1729,Email 1730,10,7,1,4,0,3,32,4,1
1730,Email 1731,0,1,2,0,0,1,7,0,0
1731,Email 1732,0,1,1,0,1,0,8,0,0
1732,Email 1733,0,0,1,0,0,0,0,0,0
1733,Email 1734,0,0,1,0,1,0,2,0,0
1734,Email 1735,3,4,1,1,3,5,38,4,1
1735,Email 1736,8,11,6,4,4,30,115,12,0
1736,Email 1737,0,0,1,0,1,0,2,0,0
1737,Email 1738,0,0,1,0,1,0,3,0,0
1738,Email 1739,0,0,1,0,0,0,11,0,0
1739,Email 1740,13,9,4,19,16,17,131,12,1
1740,Email 1741,2,2,2,1,2,0,24,1,0
1741,Email 1742,0,1,1,1,0,2,8,1,0
1742,Email 1743,3,3,7,0,3,1,38,2,4
1743,Email 1744,4,0,1,0,5,0,22,0,0
1744,Email 1745,1,2,1,0,0,1,6,1,0
1745,Email 1746,1,15,21,4,14,0,89,3,11
1746,Email 1747,4,9,37,3,7,2,97,3,18
1747,Email 1748,18,16,6,12,10,6,153,8,1
1748,Email 1749,0,4,1,0,0,1,7,0,0
1749,Email 1750,1,1,1,1,0,1,8,1,0
1750,Email 1751,0,0,2,0,0,1,13,1,0
1751,Email 1752,1,2,1,0,0,0,41,1,0
1752,Email 1753,1,1,1,1,1,3,23,1,1
1753,Email 1754,23,23,5,15,11,12,213,27,1
1754,Email 1755,0,0,1,0,1,0,2,0,0
1755,Email 1756,3,4,1,2,2,2,61,2,2
1756,Email 1757,5,12,2,7,4,5,73,3,0
1757,Email 1758,3,0,1,2,3,0,39,1,0
1758,Email 1759,0,0,1,0,1,0,3,0,0
1759,Email 1760,1,1,1,1,3,1,23,0,0
1760,Email 1761,0,0,1,0,0,0,1,0,0
1761,Email 1762,3,2,1,0,2,0,22,2,1
1762,Email 1763,0,0,1,3,4,2,34,2,1
1763,Email 1764,3,0,1,2,3,0,32,4,1
1764,Email 1765,0,1,2,0,0,0,14,0,1
1765,Email 1766,44,21,4,26,15,21,240,15,0
1766,Email 1767,5,4,3,0,2,1,39,2,2
1767,Email 1768,5,3,4,2,5,3,71,1,2
1768,Email 1769,4,1,3,1,2,2,28,1,1
1769,Email 1770,5,7,6,3,0,1,71,3,0
1770,Email 1771,5,3,1,0,2,1,20,0,1
1771,Email 1772,2,2,2,1,0,0,10,1,0
1772,Email 1773,6,10,2,4,2,5,46,3,1
1773,Email 1774,0,0,1,0,1,0,2,0,0
1774,Email 1775,0,0,1,1,0,1,21,0,0
1775,Email 1776,0,0,1,0,1,0,3,0,0
1776,Email 1777,5,3,1,0,2,1,20,0,1
1777,Email 1778,11,8,7,5,3,2,86,3,0
1778,Email 1779,6,1,5,0,3,1,33,1,2
1779,Email 1780,0,3,1,1,1,0,10,0,0
1780,Email 1781,25,14,34,6,13,4,182,7,18
1781,Email 1782,0,0,1,0,1,0,2,0,0
1782,Email 1783,0,0,1,0,1,0,3,0,0
1783,Email 1784,14,6,30,7,6,2,97,0,18
1784,Email 1785,1,0,1,3,1,1,18,7,2
1785,Email 1786,8,11,6,4,4,30,116,13,0
1786,Email 1787,11,3,16,5,3,3,62,0,9
1787,Email 1788,11,3,16,6,3,3,63,0,9
1788,Email 1789,11,3,16,6,4,3,76,1,9
1789,Email 1790,11,3,17,4,3,3,56,0,10
1790,Email 1791,75,67,160,26,37,14,654,9,77
1791,Email 1792,74,66,161,25,37,14,645,9,78
1792,Email 1793,8,3,16,4,2,1,56,0,9
1793,Email 1794,1,2,3,4,1,1,14,2,0
1794,Email 1795,36,30,4,16,21,6,260,9,15
1795,Email 1796,28,38,6,17,14,15,284,34,0
1796,Email 1797,0,1,2,0,0,0,14,0,1
1797,Email 1798,6,10,4,1,4,1,55,0,1
1798,Email 1799,24,20,8,11,10,10,164,8,3
1799,Email 1800,4,4,2,1,2,1,14,0,0
1800,Email 1801,2,2,1,3,0,2,41,1,0
1801,Email 1802,5,19,8,7,0,1,228,10,0
1802,Email 1803,0,1,1,1,0,0,12,1,0
1803,Email 1804,9,8,1,0,5,0,43,9,0
1804,Email 1805,5,6,2,1,0,1,10,4,0
1805,Email 1806,10,10,2,2,3,5,70,6,1
1806,Email 1807,4,3,2,0,0,2,26,2,2
1807,Email 1808,1,2,1,1,1,0,16,3,0
1808,Email 1809,0,4,1,0,2,5,71,6,0
1809,Email 1810,7,2,1,0,0,1,23,1,0
1810,Email 1811,5,7,3,3,3,1,98,1,0
1811,Email 1812,0,0,1,0,1,0,3,0,0
1812,Email 1813,5,1,5,3,4,2,49,7,0
1813,Email 1814,1,3,2,0,3,1,41,0,0
1814,Email 1815,0,0,1,0,1,0,11,0,0
1815,Email 1816,13,13,2,4,4,4,82,8,0
1816,Email 1817,7,2,1,0,0,1,23,1,0
1817,Email 1818,37,21,5,33,6,27,215,0,0
1818,Email 1819,5,10,13,4,3,0,98,2,6
1819,Email 1820,5,12,29,5,7,4,99,4,12
1820,Email 1821,5,3,2,4,3,1,39,2,0
1821,Email 1822,1,2,1,0,0,2,7,1,0
1822,Email 1823,0,1,1,0,0,0,18,0,0
1823,Email 1824,3,11,20,5,7,3,84,4,8
1824,Email 1825,0,0,1,0,0,0,9,0,0
1825,Email 1826,9,6,12,4,6,1,74,2,5
1826,Email 1827,3,8,12,2,5,3,57,4,4
1827,Email 1828,2,4,5,1,3,1,27,2,1
1828,Email 1829,0,0,1,0,0,0,6,1,0
1829,Email 1830,7,3,3,4,2,1,46,1,1
1830,Email 1831,9,13,38,2,3,3,98,1,17
1831,Email 1832,12,7,13,3,2,2,48,1,4
1832,Email 1833,1,4,2,0,1,0,9,0,0
1833,Email 1834,2,5,1,1,3,7,32,1,0
1834,Email 1835,4,4,2,2,1,4,20,3,1
1835,Email 1836,0,0,1,0,1,0,7,0,0
1836,Email 1837,1,0,2,0,0,0,19,1,0
1837,Email 1838,10,5,4,0,4,0,44,0,0
1838,Email 1839,0,0,1,0,1,0,3,0,0
1839,Email 1840,0,0,1,0,1,0,3,0,0
1840,Email 1841,10,15,36,8,11,5,131,4,16
1841,Email 1842,3,2,3,1,2,2,25,3,0
1842,Email 1843,0,1,2,0,0,0,14,0,1
1843,Email 1844,3,0,1,1,0,1,49,4,0
